idx,idx_old,mz,mzmin,mzmax,rt,rtmin,rtmax,npeaks,samples,MPA,polarity
2452,452,177.053253,177.052466,177.057949,446.4905,444.8399,447.5121,95,95,90069.22222,pos
2453,453,177.054268,177.052197,177.075462,23.9165,8.8153,54.9514,72,71,300607.7514,pos
2455,455,178.060247,178.056726,178.065314,49.3304,44.2896,50.605,99,99,152878.5001,pos
2458,458,179.019372,179.015625,179.031702,95.3449,92.1666,100.0948,99,99,284298.7283,pos
2461,461,179.988839,179.98844,179.990073,21.04055,15.7111,25.7634,66,66,51508.68789,pos
2462,462,180.064189,180.062112,180.065649,242.8327,241.9445,245.2566,100,100,344290.2323,pos
2463,463,180.085684,180.084859,180.119388,212.5655,201.3566,214.3163,98,98,176972.9981,pos
2464,464,180.153037,180.152478,180.154324,212.2331,211.1442,213.7404,61,61,56817.31997,pos
2467,467,181.048724,181.047376,181.053255,626.5116,615.3396,628.3803,69,69,60750.00125,pos
2468,468,181.071,181.064085,181.077582,219.8338,193.8952,244.1053,79,77,274821.4693,pos
2469,469,181.117293,181.078785,181.122587,408.1008,367.1607,410.7944,76,76,57055.3195,pos
2470,470,181.1571,181.156408,181.158238,799.5432,798.6949,801.0283,77,77,67712.51408,pos
2472,472,182.068972,182.061963,182.0698,330.7911,329.4808,332.243,74,74,63415.89427,pos
2473,473,182.079916,182.079283,182.080818,98.8553,98.0231,103.7948,104,104,15101668.29,pos
2474,474,182.113511,182.111857,182.115228,256.092,254.8117,257.2637,55,55,18313.09071,pos
2475,475,182.197011,182.195786,182.19903,499.7897,498.9465,501.0412,61,61,41347.99572,pos
2476,476,182.975259,182.959921,182.984849,20.8069,6.1398,24.6021,101,101,208030.0625,pos
2478,478,182.983452,182.982922,182.984005,766.4297,763.6928,770.031,71,71,449798.4842,pos
2479,479,183.083205,183.082585,183.084168,98.9199,98.0634,103.7948,99,99,1191762.988,pos
2480,480,183.079375,183.061621,183.092216,260.1984,259.094,280.4579,88,88,199224.0666,pos
2483,483,184.093191,184.092585,184.106741,45.49295,43.6563,46.2071,102,102,1381294.666,pos
2485,485,184.984181,184.98247,184.985291,21.11455,9.3569,23.3499,104,104,1407552.793,pos
2486,486,184.967982,184.967229,184.984132,134.044,124.1949,161.8189,104,104,575518.0204,pos
2488,488,185.04054,185.04001,185.041258,52.1137,47.5799,57.6222,93,93,413627.6839,pos
2489,489,185.113276,185.077517,185.115472,350.2168,346.7301,423.361,77,71,130807.9856,pos
2490,490,185.126044,185.121064,185.127292,210.02125,208.878,211.1585,88,88,219390.905,pos
2492,492,186.110943,186.109892,186.147074,66.1835,59.3201,102.5585,89,89,98209.67207,pos
2494,494,186.220498,186.219871,186.220837,16.16035,13.0639,20.0779,54,54,3370104.251,pos
2496,496,186.979426,186.964021,186.980738,21.2714,9.3569,53.1589,105,105,493999.716,pos
2497,497,187.056614,187.055722,187.069385,52.6658,50.6938,54.3611,99,99,488741.349,pos
2498,498,187.056354,187.055616,187.057534,167.4725,166.861,168.3387,99,99,669178.0593,pos
2500,500,187.131308,187.130544,187.132173,429.59285,428.4701,431.0143,94,94,141202.6957,pos
2501,501,187.131348,187.130621,187.132881,383.5239,382.1853,385.9775,83,83,104000.8747,pos
