idx,idx_old,mz,mzmin,mzmax,rt,rtmin,rtmax,npeaks,samples,MPA,polarity,tp1_food_YESvsNO,id,P_1,p<0.05,"p,0.01",sign_1
4492,2492,497.33876,497.337345,497.34033,701.3678,700.8232,701.8451,100,100,25510923.2,pos,TRUE,4492,0.00006,TRUE,TRUE,1
4493,2493,497.354862,497.35296,497.356211,788.7926,783.9316,791.386,64,64,101969.6196,pos,FALSE,NA,NA,NA,NA,NA
4494,2494,498.235185,498.233302,498.236774,300.1711,299.1923,301.049,95,95,119536.9025,pos,TRUE,4494,0.64419,0,0,-1
4495,2495,498.246356,498.244619,498.251974,353.4625,352.0873,354.9442,95,95,195896.7563,pos,TRUE,4495,0.910932,0,0,1
4496,2496,498.306188,498.304385,498.307738,400.2911,399.3786,401.3677,95,95,177102.1544,pos,FALSE,NA,NA,NA,NA,NA
4497,2497,498.341454,498.340054,498.343013,701.34705,700.8232,701.9683,100,100,3760148.683,pos,TRUE,4497,0.000011,TRUE,TRUE,1
4498,2498,498.64047,498.637987,498.642244,400.3285,398.8811,401.7232,98,98,119355.6964,pos,FALSE,NA,NA,NA,NA,NA
4499,2499,498.777787,498.776115,498.779222,353.7294,352.7253,354.2546,99,99,1025493.959,pos,TRUE,4499,0.474888,0,0,-1
4500,2500,498.821333,498.816611,498.823418,749.8593,748.1819,751.9029,80,80,43804.70298,pos,FALSE,NA,NA,NA,NA,NA
4501,2501,499.270947,499.269389,499.272544,294.243,293.4786,295.5072,97,97,264360.789,pos,TRUE,4501,0.770062,0,0,1
4502,2502,499.279576,499.27797,499.281015,353.6811,352.6172,354.7534,98,98,422271.0656,pos,TRUE,4502,0.420139,0,0,1
4503,2503,499.343956,499.342502,499.345738,701.2622,700.5773,701.8993,100,100,400316.898,pos,TRUE,4503,0.000243,TRUE,TRUE,1
4504,2504,499.356247,499.35457,499.357749,754.9962,754.2878,756.0253,99,99,756004.0514,pos,TRUE,4504,0.000184,TRUE,TRUE,1
4505,2505,499.372033,499.369688,499.373092,808.7235,805.2125,813.498,73,73,89658.9217,pos,TRUE,4505,0.844714,0,0,1
4506,2506,499.60408,499.602083,499.606047,400.2002,398.771,401.0134,98,98,271493.2024,pos,TRUE,4506,0.684783,0,0,1
4507,2507,499.780628,499.77873,499.782543,353.3405,351.9533,354.5574,81,81,87614.77661,pos,FALSE,NA,NA,NA,NA,NA
4508,2508,499.957897,499.956032,499.959634,400.3595,399.7496,401.3768,99,99,1000584.04,pos,TRUE,4508,0.540098,0,0,1
4509,2509,500.23669,500.234817,500.239139,372.8346,371.9216,373.7586,67,67,50191.53161,pos,FALSE,NA,NA,NA,NA,NA
4510,2510,500.270588,500.26894,500.272595,683.8025,683.1859,684.5297,100,100,782045.4521,pos,TRUE,4510,0.050274,0,0,1
4511,2511,500.292632,500.290525,500.293883,400.4346,399.7074,401.2025,99,99,718409.9026,pos,TRUE,4511,0.385316,0,0,1
4512,2512,500.359519,500.357571,500.361644,754.64285,753.8849,755.1602,98,98,180505.7828,pos,TRUE,4512,0.000523,TRUE,TRUE,1
4513,2513,500.626589,500.624473,500.628415,400.3229,399.5441,401.4074,99,99,291567.4034,pos,TRUE,4513,0.050948,0,0,1
4514,2514,500.794527,500.79266,500.796244,378.4214,377.6855,379.1244,99,99,373975.9659,pos,TRUE,4514,0.85647,0,0,-1
4515,2515,500.959567,500.955798,500.962242,400.1905,397.8715,401.7768,61,61,45837.76794,pos,FALSE,NA,NA,NA,NA,NA
4516,2516,501.255691,501.254085,501.257436,400.4346,399.3786,401.7391,93,93,600754.5862,pos,TRUE,4516,0.315998,0,0,1
4517,2517,501.262513,501.255729,501.273814,354.2656,352.6688,356.1855,99,99,1243964.767,pos,TRUE,4517,0.662619,0,0,1
4518,2518,501.274592,501.272859,501.275787,683.8156,683.1414,684.5297,61,61,101988.1682,pos,FALSE,NA,NA,NA,NA,NA
