idx,idx_old,mz,mzmin,mzmax,rt,rtmin,rtmax,npeaks,samples,MPA,polarity
796,796,363.251607,363.2505,363.252797,624.1105,622.3555,627.0196,91,91,192296.8869,neg
797,797,364.875151,364.873871,364.876919,47.9044,46.8807,48.935,101,101,65423.7,neg
798,798,365.111732,365.109933,365.11265,112.21675,110.7496,113.3334,80,80,71442.36626,neg
799,799,365.133191,365.117228,365.13485,262.1466,229.9784,263.4612,93,93,88213.80502,neg
800,800,365.137918,365.136864,365.139182,609.0843,554.3868,642.2777,109,105,637211.1543,neg
801,801,365.228659,365.227441,365.229622,602.0337,600.3025,602.8244,101,101,644001.0965,neg
802,802,365.267183,365.266246,365.268347,641.4829,640.1104,642.7776,99,99,295075.1153,neg
804,804,366.231914,366.230626,366.233244,601.7777,600.0549,603.1324,80,80,100589.9816,neg
805,805,366.87192,366.870472,366.874397,47.8289,46.9605,48.8323,66,66,41951.96722,neg
806,806,366.850447,366.848489,366.852433,446.5315,431.9844,465.3815,59,59,72650.81939,neg
807,807,366.99808,366.995881,366.999513,108.71625,106.9172,110.625,66,66,35243.79889,neg
808,808,367.054573,367.052675,367.055693,448.5795,431.9844,465.8509,83,83,98814.12469,neg
809,809,367.156298,367.155157,367.157404,452.742,433.5411,466.629,101,101,22115555.92,neg
810,810,367.225147,367.201104,367.229425,621.7108,596.5289,643.7745,80,80,78424.08235,neg
811,811,367.261672,367.254299,367.262879,686.6131,683.3111,687.4982,101,101,550831.6519,neg
812,812,368.031748,368.027472,368.033741,235.5605,233.9389,237.4012,81,81,80679.43059,neg
813,813,368.159467,368.158375,368.160646,453.141,433.0159,466.4174,101,101,3645775.466,neg
814,814,368.265108,368.263734,368.266666,686.1325,684.8576,687.3233,92,92,134286.7763,neg
816,816,368.887612,368.886053,368.88831,421.9886,382.4002,436.8195,65,65,389842.1644,neg
818,818,369.012597,369.010975,369.015091,439.6413,437.9809,441.0644,80,80,60151.86457,neg
819,819,369.170872,369.151965,369.172802,465.9586,421.2754,503.8174,204,101,793733.9498,neg
820,820,370.164392,370.163336,370.165437,261.4255,260.6238,262.6568,101,101,701167.6681,neg
821,821,370.174995,370.155645,370.176084,486.0069,430.1357,503.9279,104,101,1698594.162,neg
822,822,370.917689,370.914505,370.921626,439.8924,438.231,441.5422,97,97,90672.84785,neg
823,823,371.176716,371.167876,371.195736,489.5843,466.6493,537.2391,103,101,530095.5794,neg
825,825,372.899514,372.898081,372.916874,422.26855,392.6343,440.9397,72,72,572360.7508,neg
826,826,374.252151,374.251137,374.253524,432.4314,431.3513,433.8356,55,55,93990.50479,neg
827,827,374.858526,374.857171,374.859866,103.43805,100.3773,106.8614,92,92,102002.856,neg
829,829,376.223451,376.221879,376.224496,579.4666,578.7298,580.5169,101,101,189807.4169,neg
830,830,376.855565,376.854032,376.856642,103.8887,100.1495,106.8614,99,99,141220.7421,neg
831,831,377.198181,377.196917,377.199212,612.5257,611.9507,613.2056,79,79,3991262.772,neg
832,832,378.220113,378.200621,378.240119,613.07565,611.9507,614.1898,88,88,597222.1782,neg
834,834,378.916328,378.906885,378.916874,422.1828,393.1492,439.5304,53,53,2358295.214,neg
835,835,379.15418,379.152549,379.196334,612.6408,580.2023,646.6122,104,92,1463266.368,neg
836,836,379.207589,379.206243,379.208922,525.917,523.5285,529.2649,59,59,116809.614,neg
837,837,380.157426,380.155899,380.158091,622.1274,579.6756,646.159,68,68,329541.6474,neg
838,838,380.904962,380.896874,380.90833,438.8715,437.5845,440.326,79,79,54202.34185,neg
839,839,380.99287,380.991363,380.994201,107.8276,105.2517,109.1299,100,100,120134.8598,neg
840,840,381.223454,381.222098,381.224692,523.9251,522.1262,529.0611,100,100,317638.3123,neg
841,841,381.244475,381.228137,381.257174,733.6814,707.0687,782.8614,69,63,119655.4487,neg
842,842,382.718635,382.716957,382.719745,59.181,58.0773,60.2627,101,101,316524.7964,neg
843,843,382.884816,382.88031,382.902978,439.63275,437.8388,442.01,78,78,70803.43523,neg
844,844,382.9899,382.988166,382.991279,107.6185,105.2145,109.5677,97,97,61639.8117,neg
845,845,383.150917,383.149695,383.151939,398.5493,387.4676,405.7844,101,101,742038.5866,neg
846,846,383.189852,383.188577,383.190866,306.543,305.6417,307.2005,101,101,317306.156,neg
847,847,383.2207,383.219028,383.224609,571.66175,558.5849,572.9637,104,104,122578.5215,neg
